GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
MLH1,O75030,COCA2;MutL hoomolog 1,MLH1,none,Alexa Fluor 555,rabbit,EPR3894,IgG,H (M Rt),Abcam,ab215303,PE/555/Cy3,,in progress,,Level 1,,,,,x,CAJ_AbVal5,TON6,7,3,,,CAJ_TMA8_10,TMA10,10,3,MLH1,200,,,,,
CD1B,P29016,,CD1B,none,Phycoerythrin,mouse,SN13,IgG1,,BioLegend,329108,PE/555/Cy3,xxx,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON6,9,3,,,CAJ_TMA11_13,TMA11,10,3,CD1B,100,,,,,
HSPB1,P04792,,Hsp27,none,Alexa Fluor 647,rabbit,EPR5477,IgG,H (M Rt),Abcam,ab194078,647/Cy5,,in progress,,Level 1,,,,,x,CAJ_AbVal5,TON6,6,4,SATURATING () in epithelial cells. At least 3-fold lower!,,CAJ_TMA11_13,TMA11,10,4,Hsp27,1000,,,,,
,,Eosinophil MBP,MBP,none,none,mouse,BMK13,IgG1,,BioRad,MCA5751,"primary, mouse",xxx,in progress,,,,no comment,no comment,no comment,,ZM_AbVal1,TON6,2,4,50,Nuclear and cytoplasmic staining primarily in GC.,CAJ_TMA11_13,TMA11,3,4,MBP,50,,,,,
CCNE,P24864,Cyclin E,Cyclin E,none,eFluor 660,mouse,HE12,IgG1,H,eBioscience,50-9714-80,647/Cy5,xxx,Level 1,,Level 0,,Level 1,Level 1,no comment,x,ZM_AbVal1,TON6,7,4,,,CAJ_TMA11_13,TMA12,17,4,CCCNE,200,ZM2_029_ALL2,ALL2,10,4,
CD7,P09564,,CD7,none,Alexa Fluor 488,mouse,CBC.37,IgG2b,,Santa Cruz Biotechnologies,sc-59108 AF488,FITC/488,,Level 2,VS-CTLC project,,,Level 2,,,x,CAJ_AbVal4,TON6,5,2,,,CAJ_TMA11_13,TMA13,10,2,CD7,100,ZM2_009_VIGNESH,ALL_ALK1,6,2,
CD27,P26842,TNFRSF7,CD27,none,Phycoerythrin,mouse,M-T271,IgG1,,BioLegend,356406,PE/555/Cy3,"T, NK",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON6,11,3,,,CAJ_TMA2_4,TMA2,8,3,,,ZM2_009_VIGNESH,CHL_EBV,7,3,
IL2RA,P01589,IL2RA,CD25,none,Phycoerythrin,mouse,M-A251,IgG1,,BioLegend,356104,PE/555/Cy3,"activated T-cells, B-cells, T-regs",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON6,8,3,,,CAJ_TMA2_4,TMA2,6,3,,,,,,,
CD1A,P06126,,CD1A,none,none,mouse,C1A/711,IgG1,,Abcam,ab201337,"primary, mouse",thymus,Level 2,,,,no comment,no comment,no comment,50,CAJ_AbVal5,TON6,3,4,50,"Cytoplasmic in DC-like cells and weaker epithelial staining in cytoplasm. Similar to CD1A-488 from SC, but lower bg.",CAJ_TMA2_4,TMA3,3,4,,,ZM2_009_VIGNESH,Thymus,3,4,
CD1A,P06126,,CD1A,none,Alexa Fluor 488,mouse,O10,IgG1,,Santa Cruz Biotechnologies,sc-18885 AF488,FITC/488,,Level 1 (ton),,,,,,,100,CAJ_AbVal5,TON6,5,2,100,Cytoplasmic staining of CD1A-positive cells but high bg staining in nuclei. ,CAJ_TMA2_4,TMA3,7,2,,,ZM2_009_VIGNESH,Thymus,4,2,
HIF1A,Q16665,,HIF1A,none,Alexa Fluor 647,mouse,546-16,IgG2b,,BioLegend,359705,647/Cy5,xxx,Level 1,,Level 0,,Level 1,Level 1,no comment,x,ZM_AbVal1,TON6,4,4,,,CAJ_TMA2_4,TMA4,5,4,,,ZM2_003_PDAC,all,11,4,
FCGR1A,P12314,FCGR1A; FCGR1B; FCGR1C,CD64,none,Alexa Fluor 647,mouse,10.1,IgG1,,BioLegend,305012,647/Cy5,"mac, mono, activated PMNs",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON6,8,4,,,CAJ_TMA2_4,TMA4,11,4,,,ZM2_009_VIGNESH,CHL_EBV,8,4,
NOS2,P35228,iNOS,NOS2,none,Alexa Fluor 555,rabbit,EPR16635,IgG,M (H),Abcam,ab209594,PE/555/Cy3,xxx,Level 0,,Level 0,,no comment,no comment,no comment,,CAJ_AbVal5,TON6,5,3,,,CAJ_TMA2_4,TMA4,9,3,,,,,,,
CASP3,P42574,Caspase 3,CASP3,"cleaved, D214",Alexa Fluor 488,rabbit,polyclonal,IgG,,CST,9669S,FITC/488,,in progress,,Level 0,,,,,x,ZM_AbVal1,TON6,6,2,,,CAJ_TMA2_4,TMA4,7,2,,,,,,,
PCNA,P12004,,PCNA,none,Alexa Fluor 488,mouse,PC10,IgG2a,H M Rt Mk,CST,8580S,FITC/488,xxx,Level 2,,Level 2,,Level 2,Level 2,Works,x,CAJ_AbVal5,TON6,6,2,,,CAJ_TMA5_7,TMA5,6,2,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,8,2,
SYK,P43405,,SYK,none,Phycoerythrin,rabbit,D3Z1E,IgG,,CST,83324S,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal3,TON6,13,3,,,CAJ_TMA5_7,TMA5,13,3,,,,,,,
IDO1,P14902,,IDO,none,none,mouse,1F8.2,IgG1,,EMD-Millipore,MAB10009,"primary, mouse",xxx,Level 0 (ton),,,,no comment,no comment,no comment,100,ZM_AbVal2,TON6,4,4,100,No signal. Use another tissue.,CAJ_TMA5_7,TMA5,3,4,,,,,,,
MCM2,P49736,CCNL1,MCM2,none,Alexa Fluor 647,rabbit,EPR4120,IgG,H (M Rt),Abcam,ab223403,647/Cy5,,in progress,,Level 1,,,,,x,CAJ_AbVal5,TON6,5,4,,,CAJ_TMA5_7,TMA7,12,4,,,,,,,
,,,RAD51,none,Alexa Fluor 488,xxx,EPR4030(3),xxx,,Abcam,ab196449,FITC/488,xxx,Level 1,,Level 0,,no comment,no comment,Works (oncopanel cases),300,CAJ_AbVal5,TON6,7,2,,,CAJ_TMA5_7,TMA7,10,2,,"GOOD: nuclear staining, 1:200 has good signal-to-noise",,,,,
FANCD2,Q9BXW9,,FANCD2,none,Alexa Fluor 647,rabbit,EPR2302,IgG,H (M Rt),Abcam,ab200763,647/Cy5,xxx,Level 1,,Level 1,,no comment,no comment,Works (oncopanel cases),x,CAJ_AbVal5,TON6,7,4,,,CAJ_TMA5_7,TMA7,10,4,,,,,,,
,P68431,Histone H3,H3,p_S10,Alexa Fluor 555,rabbit,D2C8,IgG,H M Rt Mk,CST,3475S,PE/555/Cy3,xxx,Level 2,,Level 1,,Level 2,Level 2,Works,2000,ZM_AbVal2,TON6,10,3,,GOOD. 2000,CAJ_TMA5_7,TMA7,11,3,,,,,,,
,,,PKM2,none,Phycoerythrin,rabbit,D78A4,IgG,,CST,89367S,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal4,TON6,5,3,,,CAJ_TMA8_10,TMA8,11,3,PKM2,300,,,,,
HAVCR2,Q8TDQ0,TIM3,TIM3,none,Alexa Fluor 488,rabbit,D5D5R,IgG,,CST,54669S,FITC/488,xxx,Level 1,,,,no comment,no comment,no comment,good zm1_121 ton3 (1:200),ZM_AbVal2,TON6,5,2,,,,,,,,,ZM1_151_VIT,LP;MEL;NL;VIT,7,2,
IL3RA,P26951,IL3RA,CD123,none,Alexa Fluor 488,mouse,6H6,IgG1,,BioLegend,306035,FITC/488,"pDC, basophil, cDC",Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON6,6,2,,,x,,,,,,ZM1_037_Nicole1,LP40,9,2,
CD8A,P01732,,CD8A,none,eFluor 660,mouse,AMC908,IgG2a,,eBioscience,50-0008-80,647/Cy5,"T-cells, innate immune cells",Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,Works,300,CAJ_AbVal4,TON6,6,4,,,sme as 50-0008-82,,,,,,AM_TB,TB_B5;TB_C3_TB_E1,,,
IL3RA,P26951,IL3RA,CD123,none,none,mouse,32703,IgG1,,R&D Systems,MAB301-100,"primary, mouse","pDC, basophil, cDC",Level 0 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON6,5,4,50,"Cytoplasmic, weak staining in a subset of cells. Use another tissue.",x,,,,,,,,,,
CLEC4C,Q8WTT0,BDCA2,CD303,none,none,mouse,10E6.1,IgG1,,EMD-Millipore,MABF94,"primary, mouse",pDC,Level 1 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON6,3,4,25,Cytoplasmic staining in GCs that look dendritic.,x,,,,,,,,,,
TNFRSF18,Q9Y5U5,GITR,CD357,none,none,rabbit,EPR20566,IgG,,Abcam,ab223841,"primary, rabbit",activated T-cells,in progress (test with 200),,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON6,4,2,500,"Cytoplasmic. Weak staining of rare cells, different from goat Ab.",x,,,,,,,,,,
,,,VGluT,none,FITC,rabbit,polyclonal,IgG,,Biorbyt,orb3088,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,CAJ_180214 ton6. follow up,CAJ_AbVal2,TON6,9,2,,,x,,,,,,,,,,
VDAC1,P21796,PORIN,VDAC1,none,none,rabbit,,,,Abcam,ab15895,"primary, rabbit",xxx,Level 1,,Level 0,,no comment,no comment,no comment,50,CAJ_AbVal3,TON6,5,2,50,,x,,,,,,,,,,
EDN1,P05305,Endothelin 1,ET1,none,none,mouse,TR.ET.48.5,xxx,,Abcam,ab2786,"primary, mouse",xxx,Level 1,,,,Level 1,Level 1,JERRY,200,CAJ_AbVal3,TON6,6,4,200,Cytoplasmic in rare cells.,x,,,,,,,,,,
HSF1,Q00613,,HSF1,none,Alexa Fluor 542,rat,10H8,IgG1,,Santa Cruz Biotechnologies,sc-13516 AF542,,,,,,,,,,x,CAJ_AbVal3,TON6,14,3,,,cued,,,,,,,,,,
PTEN,P60484,MMAC1,PTEN,none,none,rabbit,xxx,IgG,,CST,9559S,"primary, rabbit",xxx,Level 1,,,,no comment,no comment,Works,400,CAJ_AbVal4,TON6,3,2,400,,x,,,,,,,,,,
,,,IFNABRA,none,none,mouse,H-11,IgG1,,Santa Cruz Biotechnologies,sc-7391,"primary, mouse",,,,,,,,,x,CAJ_AbVal4,TON6,3,4,100,Puncta along epithelia. Would prefer another antibody to check.,x,,,,,,,,,,
CD2,P06729,LFA2;LFA3R;SRBC,CD2,none,none,rabbit,EPR6451,IgG,,Abcam,ab131276,"primary, rabbit",,,,,,,,,x,CAJ_AbVal5,TON6,3,2,300,,cue_orimary,,,,,,,,,,
,,,Hsp70,none,Alexa Fluor 488,rabbit,EPR16892,IgG,,Abcam,ab204690,FITC/488,,,,Level 0,,,,,x,CAJ_AbVal5,TON6,8,2,,,x,,,,,,,,,,
HAVCR2,Q8TDQ0,TIM3,TIM3,none,none,rabbit,D5D5R,IgG,,CST,45208T,"primary, rabbit",,,,,,,,,x,ZM_AbVal1,TON6,2,2,,,x,,,,,,,,,,
MCM6,Q14566,,MCM6,none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-9843,"primary, goat",xxx,Level 2,,,,Level 2,Level 2,JERRY,300,ZM_AbVal1,TON6,2,3,300,"Nuclear or cytoplasmic in GC, depending on the cells.",x,,,,,,,,,,
,,,ms_CD3E,none,FITC,Armenian hamster,145-2C11,IgG,M,BioLegend,100306,FITC/488,xxx,x,,Level 2,,Level 2,Level 2,Didn't work,x,ZM_AbVal1,TON6,9,2,,TRUE NEG,x,,,,,,,,,,
,,SAP,JNK,p_T183/Y185,Alexa Fluor 647,mouse,G9,IgG1,,CST,9257S,647/Cy5,xxx,in progress,,,,no comment,no comment,no comment,x,ZM_AbVal1,TON6,9,4,,,cued,,,,,,,,,,
AXL,P30530,UFO,AXL,none,none,rabbit,C89E7,IgG,,CST,8661S,"primary, rabbit",xxx,Level 0,,,,Level 0,Level 0,no comment,300,ZM_AbVal2,TON6,4,2,,,cue_orimary,,,,,,,,,,
ERBB2,P04626,EGFR2,HER2,none,eFluor 570,xxx,MJD2,xxx,,eBioscience,41-9757-80,PE/555/Cy3,xxx,Level 2,,,,Level 1,Level 1,Works,discontinued,ZM_AbVal2,TON6,5,3,,,discontinued,,,,,,,,,,
ABCC1,P33527,,ABCC1,none,Alexa Fluor 647,xxx,QCRL-2,xxx,,BioLegend,370203,647/Cy5,xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON6,7,4,,,x,,,,,,,,,,
FDX1,P10109,ADX,FDX1,none,none,rabbit,EPR4629,IgG,,Abcam,ab108257,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON7,5,2,50,,CAJ_TMA1,TMA1,3,2,,,,,,,
,,,LDH,none,Alexa Fluor 488,rabbit,EP1566Y,IgG,H (M Rt),Abcam,ab202652,FITC/488,xxx,in progress,,Level 1,,no comment,no comment,no comment,500,CAJ_AbVal5,TON7,5,2,,,CAJ_TMA1,TMA1,5,2,,,,,,,
CD7,P09564,,CD7,none,Alexa Fluor 647,rabbit,EPR4242,IgG,,Abcam,ab199023,647/Cy5,,Level 2,,,,,,,x,CAJ_AbVal5,TON7,5,4,,,CAJ_TMA8_10,TMA10,5,4,CD7,200,,,,,
MAD2L2,Q9UI95,,MAD2L2,none,Alexa Fluor 555,xxx,EPR13657,xxx,,Abcam,ab210653,PE/555/Cy3,xxx,Level 1,,Level 0,,no comment,no comment,Works,200,CAJ_AbVal5,TON7,7,3,,STAINS. Cytoplasmic in rare cell type,CAJ_TMA8_10,TMA10,15,3,Mad2L2,200,,,,,
,,Aurora kinase,AURKA/B/C,"p_T288(T232,T198)",Alexa Fluor 555,rabbit,D13A11,IgG,,CST,13464S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,Works,200,CAJ_AbVal5,TON7,8,3,,GOOD: 200,CAJ_TMA8_10,TMA10,8,3,pAur,200,,,,,
GAPDH,Q15910,,GAPDH,none,Alexa Fluor 488,rabbit,EPR16884,IgG,H (M),Abcam,ab204276,FITC/488,,in progress,,,,,,,x,CAJ_AbVal5,TON7,6,2,,compare to primary,CAJ_TMA11_13,TMA11,11,2,GAPDH,500,,,,,
,,,ALDH1A1,none,Phycoerythrin,rabbit,D9Q8E,IgG,H (no others mentioned),CST,65583S,PE/555/Cy3,xxx,Level 0,,,,no comment,no comment,Ongoing (breast cancer),,CAJ_AbVal5,TON7,6,3,ALDHA1,300,CAJ_TMA11_13,TMA13,10,3,ALDH1A1,300,,,,,
STAT4,Q14765,,STAT4,none,Phycoerythrin,rabbit,EP1900Y,IgG,,Abcam,ab216702,PE/555/Cy3,,Level 1,,,,,,,x,CAJ_AbVal4,TON7,5,3,,,CAJ_TMA2_4,TMA2,10,3,,,ZM1_149_MART1,AD;PS,9,3,
KLRB1,Q12918,CLEC5B,CD161,none,FITC,mouse,HP-3G10,IgG1,,Abcam,ab210285,FITC/488,,in progress,,,,,,,x,CAJ_AbVal3,TON7,11,2,,,CAJ_TMA2_4,TMA2,9,2,,,,,,,
PROM1,O43490,PROM1,CD133,none,Phycoerythrin,mouse,TMP4,IgG1,,eBioscience,12-1338-41,PE/555/Cy3,"HSCs, enodthelial progenitor cells, cancer stem cell (Dx)",Level 0,,,,Level 0,Level 0,no comment,x,CAJ_AbVal3,TON7,11,3,,,CAJ_TMA2_4,TMA3,11,3,,,,,,,
CD33,P20138,SIGLEC3,CD33,none,Alexa Fluor 647,mouse,6C5/2,IgG1,,Santa Cruz Biotechnologies,sc-53199,647/Cy5,"myeloid, some lymphoid",Level 0,,,,no comment,no comment,Didn't work,x,CAJ_AbVal4,TON7,5,4,,,CAJ_TMA2_4,TMA3,9,4,,,,,,,
CD83,Q01151,,CD83,none,none,mouse,HB15e,IgG1,,BioLegend,305301,"primary, mouse",,Level 0 (ton),,,,,,,x,CAJ_AbVal4,TON7,3,4,100,No convincing signal. There is a small region with staining puncta but need to test in other tissues.,CAJ_TMA2_4,TMA4,3,4,,,,,,,
HIF1A,Q16665,,HIF1A,none,Alexa Fluor 647,mouse,H1alpha67,IgG2b,,Abcam,ab203848,647/Cy5,,in progress,,Level 0,,,,,x,CAJ_AbVal5,TON7,8,4,,,CAJ_TMA2_4,TMA4,10,4,,,,,,,
MAP1LC3A;MAP1LC3B;MAP1LC3C,Q9H492;Q9GZQ8;Q9BXW4,,LC3,none,Alexa Fluor 555,rabbit,D3U4C,IgG,,CST,13173S,PE/555/Cy3,xxx,Level 2,,Level 0,,Level 2,Level 1,no comment,300,ZM_AbVal1,TON7,5,3,,,CAJ_TMA2_4,TMA4,5,3,,,,,,,
ACTA2,P62736,,"Actin, alpha, smooth muscle",none,Alexa Fluor 555,rabbit,EPR5368,IgG,Rt H (M),Abcam,ab202509,PE/555/Cy3,xxx,Level 1,,Level 1,,no comment,no comment,Works,1000,ZM_AbVal1,TON7,9,3,,,CAJ_TMA5_7,TMA5,9,3,,,AM_TB,TB_B5;TB_C3_TB_E1,10,3,
TP53,P04637,p53,TP53,none,Alexa Fluor 488,xxx,7F5,xxx,,CST,5429S,FITC/488,xxx,Level 2,,Level 0,,Level 2,Level 2,Didn't work,x,ZM_AbVal1,TON7,6,2,,,CAJ_TMA5_7,TMA5,7,2,,,,,,,
,,,CD45RA,,Alexa Fluor 488,mouse,HI100,IgG2b,H (Chimp),BioLegend,304114,FITC/488,,Level 1,,,,,,,x,CAJ_AbVal3,TON7,12,2,,Stains. 200.,CAJ_TMA5_7,TMA6,9,2,,,ZM2_009_VIGNESH,Thymus,9,2,
PGR,P06401,Progesterone Receptor,PR,none,eFluor 660,xxx,KMC912,xxx,,eBioscience,50-9764-80,647/Cy5,xxx,Level 1,,,,Level 1,Level 1,no comment,x,CAJ_AbVal3,TON7,15,4,,,CAJ_TMA5_7,TMA6,11,4,,,ZM2_009_VIGNESH,Thymus,10,4,
CYCS,P99999,Cytochrome C,CytC,,Alexa Fluor 647,,,,,Abcam,ab192486,647/Cy5,,Level 1,,,,,,,200,CAJ_AbVal5,TON7,6,4,GOOD (200) mitochondria-like. Cell-type selective.,200,CAJ_TMA8_10,TMA8,17,4,CytC,200,,,,,
BAX,Q07812,,BAX,none,Alexa Fluor 488,mouse,2D2,IgG1,,BioLegend,633604,FITC/488,,in progress,,,,,,,100,ZM_AbVal1,TON7,5,2,,PROMISING: looks ike mitochondria,CAJ_TMA8_10,TMA8,5,2,BAX,100,,,,,
TMEM173,Q86WV6,TMEM173,STING,none,Alexa Fluor 647,rabbit,EPR13130,IgG,,Abcam,ab198952,647/Cy5,xxx,Level 2,,,,no comment,no comment,no comment,150,ZM_AbVal2,TON7,11,4,,,CAJ_TMA8_10,TMA9,9,4,TMEM173,1000,,,,,
CD1C,P29017,,CD1C,none,none,mouse,OTI2F4,IgG1,,Abcam,ab156708,"primary, mouse",xxx,Level 2,,,,no comment,no comment,no comment,200,ZM_AbVal2,TON7,4,4,200,Cytoplasmic outside GC.,x,,,,,,ZM1_059_Nicole4,BP10,4,4,
MLANA,Q16655,MELAN-A,MART1,none,none,mouse,M2-7C10,IgG2b,,BioLegend,917901,"primary, mouse",xxx,Level 2,Lian,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON7,4,4,,,x,,,,,,ZM1_151_VIT,LP;MEL;NL;VIT,3,4,
TIA1,P31483,,TIA1,none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-1751,"primary, goat",xxx,Level 1,,,,Level 1,Level 1,no comment,good (1:500) in tonsil,ZM_AbVal1,TON7,2,3,300,"Cytoplasmic, brigh staining in a subset of cells. Weak nuclear staining.",x,,,,,,ZM1_051_Nicole3,LP40,5,3,
,,B220,CD45R,none,eFluor 570,rat,RA3-6B2,IgG2a,,eBioscience,41-0452-80,PE/555/Cy3,"B-cells, also on subset of T-cells and DCs",Level 1,,,,Level 1,may not work,JERRY,zm1_121: ton2 no signal (1:300),ZM_AbVal2,TON7,5,3,,,x,,,,,,ZM1_037_Nicole1,LP40,8,3,
IL2RA,P01589,IL2RA,CD25,none,Alexa Fluor 647,mouse,BC96,IgG1,,BioLegend,302617,647/Cy5,"activated T-cells, B-cells, T-regs",Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON7,5,4,,,x,,,,,,ZM1_037_Nicole1,LP40,8,4,
CD1C,P29017,,CD1C,none,Phycoerythrin,mouse,L161,IgG1,,BioLegend,331505,PE/555/Cy3,xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON7,6,3,,,x,,,,,,ZM1_037_Nicole1,LP40,15,3,
IRF3,Q14653,,IRF3,none,none,mouse,D9J5Q,IgG1,,CST,10949S,"primary, mouse",xxx,Level 1 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON7,3,4,200,"Cytoplasmic, uneven staining possibly due to uneven staining of slide.",x,,,,,,,,,,
KIT,P10721,KIT;cKit;SCFR,CD117,none,none,rabbit,polyclonal,IgG,,Dako,A4502,"primary, rabbit","Hematopoietic progenitors, MCs, melanocytes",in progress,,,,no comment,no comment,no comment,100,CAJ_AbVal2,TON7,4,2,100,stains rare cell type,cue_orimary,,,,,,,,,,
IFIH1,Q9BYX4,RLR2;RH116,MDA5,none,FITC,rabbit,polyclonal,IgG,,Biorbyt,orb189848,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,CAJ_180214 ton7. follow up,CAJ_AbVal2,TON7,9,2,,,x,,,,,,,,,,
,,Tau,MAPT,none,AF555,mouse,clone 2E9,IgG1,,Novus,NBP2-25162R,"primary, mouse",xxx,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON7,9,3,,,x,,,,,,,,,,
NFKBIA,P25963,,IKBa,none,none,mouse,L35A5,IgG1,,CST,4814P,"primary, mouse",,Level 1 (ton),,,,,,,x,CAJ_AbVal3,TON7,5,4,200,Cytoplasmic in all cells.,x,,,,,,,,,,
,,,NSP3,none,Alexa Fluor 555,rabbit,polyclonal,IgG,,Bioss,bs-13657R-A555,PE/555/Cy3,,,,,,,,,poly,CAJ_AbVal3,TON7,12,3,,,x,,,,,,,,,,
,,,KAP1,none,Alexa Fluor 594,xxx,20A1,xxx,,BioLegend,619304,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,,CAJ_AbVal3,TON7,15,3,,,x,,,,,,,,,,
OLFM4,Q6UX06,Olfactomedin-4,OLFM4,none,none,rabbit,D1E4M,IgG,,CST,14369S,"primary, rabbit",,,,,,,,,x,CAJ_AbVal5,TON7,3,2,100,,x,,,,,,,,,,
HSPA8,P11142,,Hsc70,none,Alexa Fluor 488,mouse,1F2-H5,IgG2a,,StressMarq,SMC-151B-A488,FITC/488,,,,,,,,,x,CAJ_AbVal5,TON7,7,2,,,x,,,,,,,,,,
TMEM173,Q86WV6,TMEM173,STING,none,none,rabbit,D2P2F,IgG,,CST,13647S,"primary, rabbit",xxx,Level 2,,,,no comment,no comment,no comment,x,ZM_AbVal2,TON7,4,2,,GREAT. 300. highest Iba+CD163+. Matches STING-647 in tonsil.,x,,,,,,,,,,
BRD7,Q9NPI1,CELTIX1,BRD7,none,FITC,rabbit,polyclonal,IgG,,Aviva,ARP39018-P050,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,ZM1_121: ton7 subset of epithelial cells (1:100) cell type?,ZM_AbVal2,TON7,8,2,,,x,,,,,,,,,,
,,,"Tubulin, Beta",none,Alexa Fluor 555,rabbit,9F3,IgG,,CST,2116S,PE/555/Cy3,xxx,Level 0,,,,no comment,no comment,no comment,AM1_121: ton7 incorrect signal (1:300),ZM_AbVal2,TON7,8,3,,,x,,,,,,,,,,
CD1D,P15813,R3G1,CD1D,none,none,mouse,NOR3.2/13.17,IgG1,H Sheep,Abcam,ab11076,"primary, mouse",CD14+ or CD33+ myeloid,Level 0 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal5,TON8,3,4,50,No signal. Some aggregates.,CAJ_TMA1,TMA1,3,4,,,,,,,
,,,PARP,none,Alexa Fluor 488,rabbit,EPR18461,IgG,,Abcam,ab214954,FITC/488,,in progress,,,,,,,500,CAJ_AbVal5,TON8,8,2,,OK (300) nuclear and sub-nuclear targeting in GCs. A few cells have bright cytoplasmic staining.,CAJ_TMA11_13,TMA12,7,2,PARP,500,,,,,
MKI67,P46013,,Ki67,none,Alexa Fluor 647,rabbit,D3B5,IgG,,CST,12075S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,Works,x,ZM_AbVal2,TON8,11,4,,,CAJ_TMA11_13,TMA13,12,4,Ki67,300,,,,,
RORC,P51449,RORG;NR1F3,RORC,none,none,mouse,6F3.1,IgG2a,,EMD-Millipore,MABF81,"primary, mouse",xxx,Level (ton),,,,no comment,no comment,no comment,50,ZM_AbVal2,TON8,4,4,50,Punctate non-nuclear pattern. Use other tissue.,CAJ_TMA2_4,TMA2,3,4,,,,,,,
KLRG1,Q96E93,MAFA;CLEC1A;HNK1; B3GAT1,CD57,none,Phycoerythrin,mouse,HNK-1,IgM,,BioLegend,359612,PE/555/Cy3,"NK, neurons",Level 1,,,,no comment,no comment,no comment,x,CAJ_AbVal5,TON8,8,3,,Stains CD3D+CD4+ cells in tonsil,CAJ_TMA2_4,TMA3,5,3,CD57,200,ZM1_151_VIT,LP;MEL;NL;VIT,7,3,
SMAD5,Q99717,,SMAD5,none,Alexa Fluor 568,rabbit,EP619Y,IgG,,Abcam,ab220299,,,in progress,,,,,,,x,CAJ_AbVal4,TON8,5,3,,,CAJ_TMA2_4,TMA3,9,2,,,,,,,
KLRG1,Q96E93,MAFA;CLEC1A;HNK1; B3GAT1,CD57,none,FITC,mouse,NK-1,IgM,,BD,561906,FITC/488,,in progress,,,,,,,x,CAJ_AbVal5,TON8,7,2,,,CAJ_TMA2_4,TMA3,6,2,,,,,,,
CD80,P33681,B7-1;BB1;CD28LG1,CD80,none,Phycoerythrin,mouse,2D10,IgG1,,BioLegend,305207,PE/555/Cy3,"DC, activated B, monocyte",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON8,11,3,,,CAJ_TMA2_4,TMA4,7,3,,,ZM1_151_VIT,LP;MEL;NL;VIT,8,3,
SQSTM1,Q13501,P62,SQSTM1,none,Alexa Fluor 555,rabbit,EPR4844,IgG,H,Abcam,ab203430,PE/555/Cy3,xxx,Level 1,,Level 1,,no comment,no comment,no comment,150,ZM_AbVal2,TON8,11,3,,,CAJ_TMA2_4,TMA4,11,3,,,,,,,
BCL6,P41182,ZNF51;ZBTB27,BCL6,none,Alexa Fluor 647,mouse,D-8,IgG3,,Santa Cruz Biotechnologies,sc-7388 AF647,647/Cy5,,Level 2,VS-CTLC,Level 0,,,,,x,CAJ_AbVal5,TON8,5,4,,,CAJ_TMA5_7,TMA6,6,4,,,,,,,
CR2,P20023,C3dR;EBVR,CD21,none,Alexa Fluor 647,rabbit,EP3093,IgG,H (M),Abcam,ab202693,647/Cy5,"B-cells, some leukemias",Level 2,VS,Level 1,,no comment,no comment,Works,x,CAJ_AbVal5,TON8,7,4,,,CAJ_TMA5_7,TMA6,10,4,,,,,,,
BRCA1,P38398,,BRCA1,none,Alexa Fluor 647,mouse,D-9,IgG2a,,Santa Cruz Biotechnologies,sc-6954 AF647,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal3,TON8,11,4,,,CAJ_TMA5_7,TMA7,11,4,,,,,,,
